,,GermanMale,GermanFemale,GermanTotal,ForeignMale,ForeignFemale,ForeignTotal,Male,Female,Total
2004,Niedersachsen,3636890,3817759,7454649,281011,262057,543068,3917901,4079816,7997717
2004,Nordrhein-Westfalen,7786413,8329674,16116087,1014710,941840,1956550,8801123,9271514,18072637
2004,Rheinland-Pfalz,1822341,1921421,3743762,167789,147343,315132,1990130,2068764,4058894
2004,Saarland,467714,500681,968395,46850,43608,90458,514564,544289,1058853
2004,Sachsen,2026600,2163388,4189988,69916,47934,117850,2096516,2211322,4307838
2004,Sachsen-Anhalt,1194066,1265183,2459249,30507,20034,50541,1224573,1285217,2509790
2004,Schleswig-Holstein,1304832,1368999,2673831,76306,75833,152139,1381138,1444832,2825970
2004,Thueringen,1133412,1183335,2316747,29141,18494,47635,1162553,1201829,2364382
2005,Baden-Wuerttemberg,4607412,4838010,9445422,660073,622818,1282891,5267485,5460828,10728313
2005,Bayern,5490816,5784280,11275096,605474,574893,1180367,6096290,6359173,12455463
2005,Berlin,1414421,1517826,2932247,242209,217327,459536,1656630,1735153,3391783
2005,Brandenburg,1228028,1267220,2495248,40053,27167,67220,1268081,1294387,2562468
2005,Bremen,277133,300504,577637,44040,41490,85530,321173,341994,663167
2005,Hamburg,716519,776941,1493460,130126,115868,245994,846645,892809,1739454
2005,Hessen,2634455,2763029,5397484,350537,346294,696831,2984992,3109323,6094315
2005,Mecklenburg-Vorpommern,825500,848094,1673594,23386,15877,39263,848886,863971,1712857
2005,Niedersachsen,3641039,3816744,7457783,279410,262584,541994,3920449,4079328,7999777
2005,Nordrhein-Westfalen,7798934,8325690,16124624,1000291,937955,1938246,8799225,9263645,18062870
2005,Rheinland-Pfalz,1824230,1920374,3744604,166680,148024,314704,1990910,2068398,4059308
2005,Saarland,466332,498109,964441,45492,43067,88559,511824,541176,1053000
2005,Sachsen,2017500,2147250,4164750,69477,49688,119165,2086977,2196938,4283915
2005,Sachsen-Anhalt,1183732,1251627,2435359,27909,19179,47088,1211641,1270806,2482447
2005,Schleswig-Holstein,1307646,1370312,2677958,76015,76139,152154,1383661,1446451,2830112
2005,Thueringen,1125287,1172073,2297360,28830,18905,47735,1154117,1190978,2345095
2006,Baden-Wuerttemberg,4619481,4841670,9461151,654037,622837,1276874,5273518,5464507,10738025
2006,Bayern,5507933,5790143,11298076,602518,578045,1180563,6110451,6368188,12478639
2006,Berlin,1415803,1514731,2930534,247220,222141,469361,1663023,1736872,3399895
2006,Brandenburg,1224582,1261437,2486019,39328,27400,66728,1263910,1288837,2552747
2006,Bremen,278242,300196,578438,44055,41782,85837,322297,341978,664275
2006,Hamburg,721257,779378,1500635,131268,116641,247909,852525,896019,1748544
2006,Hessen,2633050,2758427,5391477,342336,345328,687664,2975386,3103755,6079141
2006,Mecklenburg-Vorpommern,819638,841329,1660967,23193,16083,39276,842831,857412,1700243
2006,Niedersachsen,3639539,3809856,7449395,277421,262192,539613,3916960,4072048,7989008
2006,Nordrhein-Westfalen,7803468,8314263,16117731,988103,935339,1923442,8791571,9249602,18041173
2006,Rheinland-Pfalz,1821774,1916462,3738236,166771,149410,316181,1988545,2065872,4054417
2006,Saarland,464183,494893,959076,44687,43012,87699,508870,537905,1046775
2006,Sachsen,2009605,2132135,4141740,68875,51008,119883,2078480,2183143,4261623
2006,Sachsen-Anhalt,1172297,1236952,2409249,27282,19253,46535,1199579,1256205,2455784
2006,Schleswig-Holstein,1310024,1370859,2680883,75519,76193,151712,1385543,1447052,2832595
2006,Thueringen,1115823,1159457,2275280,28495,19151,47646,1144318,1178608,2322926
2007,Baden-Wuerttemberg,4628941,4842948,9471889,651035,623372,1274407,5279976,5466320,10746296
